player,pos,points,player_sk,p10,p50,p90
Tanner Hudson,TE,19.5,15303,6.2,20.7,37.9
Tanner Koziol,TE,19.5,12097,6.2,20.7,37.9
Taysom Hill,TE,19.5,15639,6.2,20.7,37.9
Tyler Conklin,TE,19.5,14998,6.2,20.7,37.9
Zach Ertz,TE,19.5,17074,6.2,20.7,37.9
Jacob Cowing,WR,19.3,12647,9.3,20,30.4
Damien Martinez,RB,19,12241,5.3,18,33.3
Patrick Ricard,RB,19,15663,5.3,18,33.4
Jordan Whittington,WR,19,12641,9.2,19.6,29.9
Kevin Austin Jr.,WR,19,13395,9.2,19.6,29.9
Dyami Brown,WR,18.7,13782,9,19.3,29.4
Juice Wells Jr.,WR,18.6,22814,9,19.3,29.4
Greg Dortch,WR,18.4,14521,8.9,19,28.9
Lil'Jordan Humphrey,WR,18.4,14531,8.9,19,28.9
Phil Mafah,RB,18.2,12250,5.1,17.3,32
Nick Westbrook-Ikhine,WR,18.1,14363,8.8,18.8,28.6
Julius Chestnut,RB,17.9,13591,5,17,31.4
Terrell Jennings,RB,17.5,12902,4.9,16.6,30.7
DeAndre Hopkins,WR,17.5,17060,8.4,18.1,27.5
Tim Patrick,WR,17.5,15601,8.5,18.1,27.6
Tyler Lockett,WR,17.5,16238,8.4,18.1,27.5
Dylan Laube,RB,17.2,12621,4.8,16.3,30.1
Jawhar Jordan,RB,17.2,12779,4.8,16.3,30.1
Hunter Luepke,RB,16.8,13182,4.7,15.9,29.4
Lan Larison,RB,16.8,12449,4.7,15.9,29.4
Alec Ingold,RB,16.5,14761,4.6,15.6,28.9
Jam Miller,RB,16.5,11944,4.6,15.6,28.9
Dameon Pierce,RB,16.1,13349,4.5,15.2,28.2
Kene Nwangwu,RB,15.4,13899,4.3,14.6,27
Tyler Badie,RB,15.4,13350,4.3,14.6,27.1
Antonio Gibson,RB,14.8,14139,4.1,14,26
Miles Sanders,RB,14.8,14493,4.1,14,25.9
Jeremy McNichols,RB,14.5,15376,4.1,13.7,25.4
Brittain Brown,RB,14.2,13580,4,13.4,24.9
Reggie Gilliam,RB,14.2,14362,4,13.4,24.9
Austin Ekeler,RB,13,15623,3.6,12.3,22.8
Ameer Abdullah,RB,12.5,16208,3.5,11.8,21.8
