Draft Recap - seacaptaindate.com - ESPN Fantasy Football
https://fantasy.espn.com/football/league/draftrecap?leagueId=462233
rows=192

122Chris Godwin Jr. TB, WR$1
137Vikings D/ST Min, D/ST$1
150Chase McLaughlin TB, K$1
10Christian McCaffrey SF, RB$86
24Patrick Mahomes KC, QB$41
50Breece Hall NYJ, RB$27
51Marvin Harrison Jr. Ari, WR$29
60Mark Andrews Bal, TE$10
135Xavier Legette Car, WR$1
148Rachaad White TB, RB$1
161Marvin Mims Jr. Den, WR$1
172Matt Gay FA, K$1
180Rashod Bateman Bal, WR$1
187Brandon Aiyuk SF, WR$1
191Chiefs D/ST KC, D/ST$1

--- panels ---
