Rank	Player	Pos	Us_Pos	ECR_Pos	ESPN_Pos	Tier	Team	Bye	Age	Exp	Ht	Wt	40yd	OurValue$	vsECR	ProjPts	2025Pts	2025Gms	ECR	ECR_Best	ECR_Worst	ESPN_Rank	ESPN_ADP	Rostered%	SleeperBuzz	Depth	Latest News	NewsURL
17	Jayden Daniels	QB	QB5	QB5	QB2	QB-T2	WAS	7	25.7	3	6'4"	210		49	36	330.6	114.3	7	53.22	27	101	56	53.0	98				
18	Jaxon Smith-Njigba	WR	WR3	WR3	WR3	WR-T2	SEA	11	24.5	4	6'0"	202		49	-13	207.2	240.9	17	4.67	1	8	5	6.2	100				
19	Kenneth Walker III	RB	RB10	RB10	RB11	RB-T3	KC	5	25.9	5	5'9"	211	4.38	47	7	191.6	160.9	17	26.05	12	53	18	24.9	99				
20	Amon-Ra St. Brown	WR	WR4	WR4	WR4	WR-T2	DET	6	26.9	6	6'0"	202	4.51	45	-15	199.4	207.0	17	5.42	3	9	8	8.4	100			Lions' Jameson Williams could steal the spotlight from Amon-Ra St. Brown (rss:yardbarker)	https://www.yardbarker.com/nfl/articles/lions_jameson_williams_could_steal_the_spotlight_from_amon_ra_st_brown/s1_13132_44251691
21	Ashton Jeanty	RB	RB11	RB11	RB9	RB-T3	LV	13	22.7	2	5'8"	208		45	5	187.4	190.1	17	26.37	11	53	16	21.7	100			Optimism about Raiders RB Ashton Jeanty's Week 1 status grows after Klint Kubiak's update (rss:yardbarker)	https://www.yardbarker.com/nfl/articles/optimism_about_raiders_rb_ashton_jeantys_week_1_status_grows_after_klint_kubiaks_update/s1_13132_44251021
22	Trey McBride	TE	TE2	TE2	TE1	TE-T1	ARI	14	26.8	5	6'4"	246		44	-1	152.2	189.9	17	21.0	16	57	20	22.8	99				
23	CeeDee Lamb	WR	WR5	WR5	WR5	WR-T2	DAL	14	27.4	7	6'2"	198	4.5	43	-14	195.4	125.9	13	9.0	6	16	9	11.8	100				
24	Derrick Henry	RB	RB12	RB12	RB5	RB-T3	BAL	13	32.7	11	6'3"	252	4.54	43	14	184.7	264.5	17	37.72	16	47	11	16.6	99			'A striving factor:' How Ravens' Derrick Henry is driven to rank among NFL's best backs (rss:espn)	https://www.espn.com/nfl/story/_/id/49783209/how-baltimore-ravens-derrick-henry-driven-rank-nfl-best-running-back
25	Jalen Hurts	QB	QB6	QB6	QB5	QB-T3	PHI	10	28.1	7	6'1"	223	4.59	42	32	316.9	303.1	16	56.5	30	79	62	54.6	97			Hurts agrees that he; Brown grew apart: 'Clearly' (rss:espn)	https://www.espn.com/nfl/story/_/id/49804039/eagles-hurts-agrees-brown-grew-apart-last-season
26	Breece Hall	RB	RB13	RB13	RB13	RB-T3	NYJ	13	25.3	5	5'11"	217	4.39	41	14	180.8	171.7	16	39.93	28	56	22	35.9	98				
27	Jeremiyah Love	RB	RB14	RB14	RB10	RB-T3	ARI	14	21.3	R	6'0"	214	4.36	40	14	177.1			41.44	27	65	17	26.0	98			2026 NFL Rookie of the Year rankings: Why Jeremiyah Love offers OROY value; Rueben Bain Jr. deserves DROY edge (rss:cbs)	https://www.cbssports.com/nfl/news/2026-nfl-rookie-of-the-year-rankings-jeremiyah-love-rueben-bain/
28	Caleb Williams	QB	QB7	QB7	QB13	QB-T3	CHI	10	24.8	3	6'1"	226		38	39	309.1	316.7	17	67.1	37	98	104	89.9	94				
29	Justin Jefferson	WR	WR6	WR6	WR6	WR-T2	MIN	6	23.5	R	6'0"	223	4.43	38	-20	185.1	117.5	17	9.36	4	20	10	12.7	99			2026 Minnesota Vikings betting preview; predictions: Four NFL player props to target before Week 1 (rss:cbs)	https://www.cbssports.com/betting/news/2026-minnesota-vikings-betting-preview-predictions-four-nfl-player-props-to-target-before-week-1/
30	Kyren Williams	RB	RB15	RB15	RB17	RB-T3	LAR	11	26.0	5	5'9"	207	4.65	38	12	173.8	227.3	17	41.52	24	59	38	35.5	98				
31	Justin Herbert	QB	QB8	QB8	QB14	QB-T3	LAC	7	28.5	7	6'6"	236	4.68	36	41	304.7	286.9	16	71.63	30	105	112	86.8	92				
32	Javonte Williams	RB	RB16	RB16	RB15	RB-T4	DAL	14	26.4	6	5'10"	220	4.55	36	13	169.6	207.8	16	44.62	31	61	30	32.9	98				
33	Colston Loveland	TE	TE3	TE3	TE3	TE-T2	CHI	10	22.4	2	6'6"	241		36	4	136.1	107.1	16	37.44	22	95	50	42.5	100				
34	Drake London	WR	WR7	WR7	WR7	WR-T3	ATL	11	25.1	5	6'4"	215		35	-21	177.7	131.9	12	12.91	8	26	14	20.2	99				
35	Josh Jacobs	RB	RB17	RB17	RB32	RB-T4	GB	11	28.6	8	5'10"	223		35	12	167.3	201.1	15	46.94	24	67	121	70.1	98	DROP			
36	Trevor Lawrence	QB	QB9	QB9	QB8	QB-T3	JAC	7	26.9	6	6'6"	220		34	42	300.4	340.2	17	77.84	54	105	93	100.4	90				
37	A.J. Brown	WR	WR8	WR8	WR10	WR-T3	NE	11	29.2	8	6'1"	226	4.49	32	-23	173.3	142.3	15	14.25	6	35	26	21.2	99			Jalen Hurts acknowledges that "clearly" he and A.J. Brown grew apart (rss:pft)	https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/jalen-hurts-acknowledges-that-clearly-he-and-a-j-brown-grew-apart
38	Travis Etienne Jr.	RB	RB18	RB18	RB16	RB-T4	NO	8	27.6	6	5'10"	215	4.45	32	10	162.0	217.9	17	47.64	31	65	32	41.1	97				
39	Tyler Warren	TE	TE4	TE4	TE4	TE-T2	IND	13	24.3	2	6'6"	256		32	14	128.0	112.5	17	53.13	22	73	51	52.1	99				
40	Dak Prescott	QB	QB10	QB10	QB9	QB-T4	DAL	14	33.1	11	6'2"	230	4.79	31	38	295.4	309.8	17	78.25	54	105	95	72.5	93				
41	D'Andre Swift	RB	RB19	RB19	RB21	RB-T4	CHI	10	27.6	7	5'8"	204	4.48	31	14	159.5	194.6	16	54.7	34	75	42	52.2	94			Kyle Monangai: Resumes running (rss:rotowire)	https://www.rotowire.com//football/player/kyle-monangai-18520
42	Nico Collins	WR	WR9	WR9	WR9	WR-T3	HOU	8	27.5	6	6'4"	222	4.43	30	-26	167.7	153.2	15	16.0	9	28	25	25.8	100				
43	Chris Olave	WR	WR10	WR10	WR11	WR-T3	NO	8	26.2	5	6'0"	187	4.39	29	-25	166.3	168.0	16	17.99	9	36	27	29.4	98				
44	Cam Skattebo	RB	RB20	RB20	RB19	RB-T4	NYG	8	24.6	2	5'11"	215		29	13	156.2	101.7	8	57.42	41	77	40	45.1	98			Agent's Take: Does Cam Skattebo need better advice after recent Giants antics? (rss:cbs)	https://www.cbssports.com/nfl/news/agents-take-cam-skattebos-giants/
45	Harold Fannin Jr.	TE	TE5	TE5	TE6	TE-T2	CLE	11	22.1	2	6'4"	241	4.71	28	28	120.7	114.4	16	73.44	54	112	79	70.8	95				
46	George Pickens	WR	WR11	WR11	WR12	WR-T3	DAL	14	25.5	5	6'3"	205	4.47	27	-26	162.5	196.9	17	20.43	9	40	28	28.4	99			George Pickens clearly focused more on scoring TDs than golf swing this offseason (rss:yardbarker)	https://www.yardbarker.com/nfl/articles/george_pickens_clearly_focused_more_on_scoring_tds_than_golf_swing_this_offseason/s1_13132_44250702
47	Bucky Irving	RB	RB21	RB21	RB20	RB-T4	TB	10	24.0	3	5'10"	194	4.55	27	12	151.0	108.5	10	58.68	41	80	41	56.9	96				
48	Brock Purdy	QB	QB11	QB11	QB11	QB-T4	SF	8	26.7	5	6'1"	220	4.84	26	48	285.9	179.4	9	96.5	63	119	99	110.2	86				
49	DeVonta Smith	WR	WR12	WR12	WR19	WR-T4	PHI	10	23.7	R	5'11"	195		26	-25	159.6	124.8	17	24.04	12	45	44	36.8	99				
50	David Montgomery	RB	RB22	RB22	RB23	RB-T5	HOU	8	29.2	8	5'11"	230	4.63	26	11	148.9	140.9	17	61.35	43	78	65	61.9	94				
51	Quinshon Judkins	RB	RB23	RB23	RB18	RB-T5	CLE	11	22.8	2	6'0"	221	4.48	25	11	147.9	141.8	14	62.03	39	78	39	49.0	95			Mike Hall moves past training camp incident with Quinshon Judkins (rss:yahoo)	https://sports.yahoo.com/articles/mike-hall-moves-past-training-022101229.html
52	Kyle Pitts Sr.	TE	TE6	TE6	TE5	TE-T3	ATL	11	25.9	6	6'6"	250	4.44	25	27	113.3	122.8	17	78.91	61	131	78	68.5	96				
53	Malik Nabers	WR	WR13	WR13	WR13	WR-T4	NYG	8	23.1	3	6'0"	200		24	-28	156.3	39.1	4	24.54	11	51	29	34.8	99			Isaiah Likely already sees why Malik Nabers is Giants’ ‘alpha receiver’ (rss:yahoo)	https://sports.yahoo.com/articles/isaiah-likely-already-sees-why-014518866.html
54	Rashee Rice	WR	WR14	WR14	WR8	WR-T4	KC	5	26.4	4	6'1"	203	4.51	23	-29	154.7	95.1	8	24.68	9	48	24	29.1	99				
55	Bhayshul Tuten	RB	RB24	RB24	RB22	RB-T5	JAC	7	24.5	2	5'9"	209	4.32	23	12	142.8	78.6	15	67.19	43	93	64	61.7	92				
56	Tucker Kraft	TE	TE7	TE7	TE9	TE-T3	GB	11	25.8	4	6'5"	259	4.69	23	24	109.1	85.2	8	80.46	32	106	125	91.3	93				
57	Garrett Wilson	WR	WR15	WR15	WR18	WR-T4	NYJ	13	26.1	5	6'0"	183	4.38	22	-27	152.3	63.5	7	29.62	12	47	43	37.1	97				
58	Jaxson Dart	QB	QB12	QB12	QB7	QB-T5	NYG	8	23.3	2	6'2"	223		21	39	274.0	241.6	14	97.46	59	119	85	83.2	93				
59	Zay Flowers	WR	WR16	WR16	WR15	WR-T4	BAL	13	26.0	4	5'9"	183	4.42	21	-29	150.3	157.3	17	30.3	15	48	33	44.2	98				
60	TreVeyon Henderson	RB	RB25	RB25	RB29	RB-T5	NE	11	23.9	2	5'10"	202	4.43	21	11	139.9	171.2	17	70.96	46	96	118	77.9	93				
61	Jaylen Waddle	WR	WR17	WR17	WR25	WR-T4	DEN	10	27.8	6	5'10"	185		20	-26	147.8	130.1	16	34.78	18	62	52	52.2	97				
62	Jadarian Price	RB	RB26	RB26	RB24	RB-T5	SEA	11	22.9	R	5'11"	203	4.49	20	11	137.9			73.22	47	127	67	67.5	90				
63	Sam LaPorta	TE	TE8	TE8	TE7	TE-T3	DET	6	25.6	4	6'3"	245	4.59	20	23	103.2	66.9	9	85.85	54	131	80	73.8	95			Brad Holmes: Long-term plans for Sam LaPorta; Brian Branch haven't changed (rss:yahoo)	https://sports.yahoo.com/articles/brad-holmes-long-term-plans-010302405.html
64	Ladd McConkey	WR	WR18	WR18	WR23	WR-T5	LAC	7	24.8	3	6'0"	185	4.39	19	-29	145.8	114.9	16	34.85	18	51	48	46.0	97				
65	Tetairoa McMillan	WR	WR19	WR19	WR17	WR-T5	CAR	5	23.4	2	6'4"	219		18	-29	144.8	143.4	17	35.61	18	50	35	42.1	98				
66	Rhamondre Stevenson	RB	RB27	RB27	RB25	RB-T6	NE	11	28.5	6	6'0"	227	4.64	18	11	133.6	142.8	14	77.27	56	117	68	78.8	89				
67	Travis Kelce	TE	TE9	TE9	TE11	TE-T4	KC	5	36.9	14	6'5"	250	4.63	18	32	100.6	115.2	17	98.53	66	139	127	94.9	91			Travis Kelce purchased $5.35 million Ohio home months before Taylor Swift marriage (rss:espn)	https://www.espn.com/nfl/story/_/id/49804647/travis-kelce-taylor-swift-new-home-ohio
68	Tee Higgins	WR	WR20	WR20	WR21	WR-T5	CIN	6	27.6	7	6'4"	219		17	-31	142.4	150.6	15	36.89	19	51	46	51.1	97				
69	Jaylen Warren	RB	RB28	RB28	RB27	RB-T6	PIT	9	27.8	5	5'8"	215	4.55	17	8	131.1	177.1	16	77.34	65	99	70	87.4	89				
70	Emeka Egbuka	WR	WR21	WR21	WR16	WR-T5	TB	10	23.9	2	6'1"	205		16	-29	140.7	130.7	17	40.83	15	62	34	45.0	98				
71	Tony Pollard	RB	RB29	RB29	RB30	RB-T6	TEN	9	29.3	8	6'0"	209	4.52	16	14	128.5	152.8	17	84.99	67	120	119	88.6	87				
72	George Kittle	TE	TE10	TE10	TE8	TE-T4	SF	8	32.9	10	6'4"	250	4.52	16	27	96.3	104.5	11	98.93	66	229	124	74.4	90			NFL news; live updates: Raiders name Kirk Cousins as starting QB; George Kittle heads to Australia with 49ers ahead of Week 1 coming off Achilles injury (rss:yahoo)	https://sports.yahoo.com/nfl/live/nfl-news-injury-updates-rosters-starters-named-ahead-of-week-1-143714619.html
73	Bo Nix	QB	QB13	QB13	QB10	QB-T6	DEN	10	26.5	3	6'2"	217		15	26	263.3	298.8	17	99.3	70	125	97	102.5	89				
74	Luther Burden III	WR	WR22	WR22	WR27	WR-T5	CHI	10	22.7	2	6'0"	210	4.41	15	-27	138.1	80.9	15	46.99	20	69	54	75.2	94				
75	Terry McLaurin	WR	WR23	WR23	WR22	WR-T6	WAS	7	31.0	8	6'0"	210	4.35	14	-28	135.7	76.2	10	47.16	26	68	47	61.0	94				
76	Rico Dowdle	RB	RB30	RB30	RB26	RB-T6	PIT	9	28.2	7	6'0"	215	4.54	14	13	125.3	177.3	17	88.82	65	122	69	95.3	87				
77	Dalton Kincaid	TE	TE11	TE11	TE14	TE-T4	BUF	7	26.9	4	6'3"	246		14	35	91.1	87.1	12	112.42	85	155	138	130.8	84				
78	Davante Adams	WR	WR24	WR24	WR14	WR-T6	LAR	11	33.7	13	6'1"	204	4.56	13	-28	134.4	162.9	14	50.13	29	69	31	46.2	96				
79	DJ Moore	WR	WR25	WR25	WR26	WR-T6	BUF	7	29.4	9	6'0"	213	4.56	13	-27	133.2	122.2	17	52.06	19	100	53	60.8	95				
80	Jonathon Brooks	RB	RB31	RB31	RB28	RB-T7	CAR	5	23.1	3	6'0"	216		13	11	122.2			90.84	61	152	117	104.8	81			RB Jonathon Brooks out of practice with soreness; but Panthers unconcerned (rss:pft)	https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/rb-jonathon-brooks-out-of-practice-with-soreness-but-panthers-unconcerned
81	Jameson Williams	WR	WR26	WR26	WR24	WR-T6	DET	6	25.4	5	6'1"	184		12	-26	131.1	154.9	17	54.74	40	96	49	64.3	94			Graziano's bold-but-realistic predictions for all 32 NFL teams: Don't be surprised if ... (rss:espn)	https://www.espn.com/nfl/story/_/id/49793475/2026-nfl-surprise-predictions-32-teams-stat-leaders-breakouts-fantasy-football
82	Dallas Goedert	TE	TE12	TE12	TE10	TE-T5	PHI	10	31.7	9	6'5"	256		12	35	87.4	125.1	15	117.24	85	173	126	103.6	86				
83	Patrick Mahomes II	QB	QB14	QB14	QB15	QB-T7	KC	5	31.0	10	6'2"	225	4.8	11	18	255.5	280.7	14	101.49	63	132	114	108.7	87				
84	Mike Evans	WR	WR27	WR27	WR35	WR-T6	SF	8	33.0	13	6'5"	231	4.53	11	-28	129.1	54.8	8	56.16	38	83	87	84.5	91				
85	Rome Odunze	WR	WR28	WR28	WR20	WR-T7	CHI	10	24.2	3	6'3"	215	4.45	10	-28	127.5	102.1	12	57.49	40	88	45	64.8	94				
86	RJ Harvey	RB	RB32	RB32	RB44	RB-T7	DEN	10	25.6	2	5'9"	208	4.4	10	11	116.6	159.6	17	97.46	65	140	176	126.0	82				
87	Jake Ferguson	TE	TE13	TE13	TE13	TE-T5	DAL	14	27.6	5	6'5"	250	4.81	10	31	84.4	104.1	17	118.47	73	181	135	110.5	84				
88	Christian Watson	WR	WR29	WR29	WR33	WR-T7	GB	11	27.3	5	6'4"	215	4.36	9	-30	125.4	97.4	10	57.65	38	107	76	89.1	90				
89	Chuba Hubbard	RB	RB33	RB33	RB37	RB-T8	CAR	5	27.2	6	6'1"	216	4.48	9	10	114.7	95.4	15	98.94	72	143	133	108.4	86				
90	Isaiah Likely	TE	TE14	TE14	TE15	TE-T5	NYG	8	26.4	5	6'4"	245		9	33	81.4	34.7	12	123.13	87	236	145	122.6	82			Isaiah Likely already sees why Malik Nabers is Giants’ ‘alpha receiver’ (rss:yahoo)	https://sports.yahoo.com/articles/isaiah-likely-already-sees-why-014518866.html
91	Parker Washington	WR	WR30	WR30	WR34	WR-T7	JAC	7	24.4	4	5'10"	204		8	-28	123.8	114.7	16	63.29	40	110	77	89.8	87				
92	Carnell Tate	WR	WR31	WR31	WR29	WR-T7	TEN	9	21.6	R	6'2"	192	4.53	8	-24	123.2			68.27	45	116	72	77.4	92			Why I Think Carnell Tate Will Be the Best Fantasy Rookie WR in 2026 (rss:yahoo)	https://sports.yahoo.com/articles/why-think-carnell-tate-best-235300552.html
93	Mark Andrews	TE	TE15	TE15	TE12	TE-T6	BAL	13	31.0	9	6'5"	250	4.67	8	39	80.0	83.0	17	131.7	87	229	134	126.4	82				
94	Juwan Johnson	TE	TE16	TE16	TE21	TE-T6	NO	8	30.0	7	6'4"	231	4.58	8	40	78.7	102.9	17	134.2	87	226	262	158.0	48				
95	Matthew Stafford	QB	QB15	QB15	QB12	QB-T8	LAR	11	38.6	18	6'3"	214	4.81	7	9	246.7	354.4	17	104.33	63	129	102	92.7	91				
96	Marvin Harrison Jr.	WR	WR32	WR32	WR31	WR-T8	ARI	14	24.1	3	6'3"	220		7	-27	121.7	84.8	12	68.6	40	110	74	79.0	90				
97	Chris Godwin Jr.	WR	WR33	WR33	WR53	WR-T8	TB	10	30.5	10	6'1"	209	4.42	7	-20	121.3	48.0	9	76.5	45	121	158	122.5	79				
98	Kenny Gainwell	RB	RB34	RB34	RB33	RB-T8	TB	10	27.5	6	5'9"	200		7	2	111.5	148.3	17	100.1	77	141	122	101.1	79				
99	Jared Goff	QB	QB16	QB16	QB18	QB-T8	DET	6	31.9	11	6'4"	217	4.82	6	7	243.6	303.1	17	106.4	63	131	171	136.4	76				
100	J.K. Dobbins	RB	RB35	RB35	RB31	RB-T9	DEN	10	27.7	7	5'10"	215		6	0	108.7	104.9	10	100.48	78	127	120	111.9	83				
101	Brenton Strange	TE	TE17	TE17	TE20	TE-T6	JAC	7	25.7	4	6'4"	253	4.7	6	58	76.5	72.0	12	159.0	112	226	210	167.7	42	DROP			
102	Chig Okonkwo	TE	TE18	TE18	TE24	TE-T6	WAS	7	27.0	5	6'3"	238		6	58	74.7	68.0	17	160.38	112	228	310	170.2	37				
103	DK Metcalf	WR	WR34	WR34	WR30	WR-T9	PIT	9	28.7	8	6'4"	229	4.33	5	-24	117.9	128.2	15	78.91	48	115	73	85.2	90				
104	Rachaad White	RB	RB36	RB36	RB40	RB-T9	WAS	7	27.6	5	6'0"	214	4.48	5	8	106.6	103.0	17	111.88	78	156	151	125.6	70				
105	Brian Thomas Jr.	WR	WR35	WR35	WR37	WR-T9	JAC	7	23.9	3	6'2"	209	4.33	4	-25	115.5	90.8	14	80.0	49	123	89	113.5	88				
106	Dalton Schultz	TE	TE19	TE19	TE23	TE-T7	HOU	8	30.1	9	6'5"	242	4.75	4	58	72.4	95.7	17	163.71	111	209	297	168.8	28				
107	Hunter Henry	TE	TE20	TE20	TE16	TE-T7	NE	11	31.7	11	6'5"	249	4.79	4	58	70.9	118.8	17	164.67	112	229	146	152.6	65				
108	Michael Pittman Jr.	WR	WR36	WR36	WR36	WR-T10	PIT	9	28.9	7	6'4"	223	4.52	3	-28	113.5	120.4	17	80.44	45	117	88	89.6	83				
109	Blake Corum	RB	RB37	RB37	RB39	RB-T10	LAR	11	25.8	3	5'8"	202	4.53	3	3	103.5	114.2	17	112.07	80	143	150	126.0	80				
110	Courtland Sutton	WR	WR37	WR37	WR28	WR-T11	DEN	10	30.9	9	6'4"	216	4.54	2	-27	112.0	143.7	17	83.3	49	116	55	81.2	88				
111	T.J. Hockenson	TE	TE21	TE21	TE19	TE-T8	MIN	6	29.2	8	6'5"	248	4.7	2	79	66.9	61.8	15	190.29	112	298	207	151.4	50				
112	Texans	DST	DST1	DST1	DST1	DST-T1	HOU	8						2	41	20.0			152.91	143	175	223	92.7	98				
113	Brandon Aubrey	K	K1	K1	K1	K-T1	DAL	14	31.5	4	6'3"	218		2	72	20.0	0.6	17	185.31	129	193	240	85.3	100				
114	Broncos	DST	DST2	DST2	DST2	DST-T1	DEN	10						2	50	19.9			163.88	149	210	225	99.6	97				
115	Ka'imi Fairbairn	K	K2	K2	K5	K-T1	HOU	8	32.6	11	6'0"	183	4.96	2	77	19.9	0.0	15	191.8	134	212	246	125.0	92				
116	Seahawks	DST	DST3	DST3	DST4	DST-T1	SEA	11						2	52	19.8			167.85	148	280	228	113.1	97				
117	Cameron Dicker	K	K3	K3	K2	K-T1	LAC	7	26.3	5	6'1"	216		2	78	19.8	0.0	17	194.59	150	333	241	112.8	97				
118	Rams	DST	DST4	DST4	DST5	DST-T1	LAR	11						2	50	19.7			167.92	144	206	229	103.5	87				
119	Cam Little	K	K4	K4	K8	K-T1	JAC	7	23.0	3	6'1"	172		2	80	19.7	0.0	17	198.87	168	253	250	141.2	92				
120	Eagles	DST	DST5	DST5	DST7	DST-T1	PHI	10						2	55	19.6			174.88	156	235	232	138.2	85				
121	Jason Myers	K	K5	K5	K3	K-T1	SEA	11	35.3	12	5'10"	190		2	79	19.6	0.0	17	200.11	171	253	242	115.9	96				
122	Vikings	DST	DST6	DST6	DST21	DST-T1	MIN	6						2	64	19.5			185.95	164	252	426	169.0	63				
123	Eddy Pineiro	K	K6	K6	K6	K-T1	SF	8	31.0	9	5'11"	190		2	85	19.5	0.0	14	207.9	175	250	248	141.9	62				
124	Kyler Murray	QB	QB17	QB17	QB16	QB-T9	MIN	6	29.1	8	5'10"	207		1	-11	234.3	77.8	5	112.82	92	134	165	137.7	67			Vikings GM shares major J.J. McCarthy update amid trade rumors (rss:yardbarker)	https://www.yardbarker.com/nfl/articles/vikings_gm_shares_major_jj_mccarthy_update_amid_trade_rumors/s1_13132_44251060
125	Baker Mayfield	QB	QB18	QB18	QB20	QB-T9	TB	10	31.4	9	6'1"	215	4.84	1	-7	227.4	273.9	17	118.39	70	141	191	146.3	60			Fernando Mendoza is first No. 1 QB since Baker Mayfield who won't start Week 1 (rss:pft)	https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/fernando-mendoza-is-first-no-1-qb-since-baker-mayfield-who-wont-start-week-1
126	Jordan Love	QB	QB19	QB19	QB22	QB-T9	GB	11	27.8	7	6'4"	219	4.74	1	-7	223.5	235.1	15	118.95	92	144	273	155.4	56			Packers QB Jordan Love hoping to throw more (rss:yahoo)	https://sports.yahoo.com/articles/packers-qb-jordan-love-hoping-021923115.html
127	Tyler Shough	QB	QB20	QB20	QB17	QB-T9	NO	8	26.9	2	6'5"	219	4.63	1	-3	214.9	158.0	11	124.28	98	207	167	152.5	44				
128	Malik Willis	QB	QB21	QB21	QB21	QB-T9	MIA	6	27.3	5	6'1"	225		1	2	205.5	51.2	4	130.02	98	255	194	167.6	39	ADD			
129	Sam Darnold	QB	QB22	QB22	QB24	QB-T9	SEA	11	29.2	9	6'3"	225	4.85	1	11	193.7	241.4	17	139.95	113	208	280	162.5	39				
130	C.J. Stroud	QB	QB23	QB23	QB23	QB-T9	HOU	8	24.9	4	6'3"	218		1	15	188.4	208.5	14	145.31	108	236	276	165.4	33			Which extension-eligible NFL players could be big factors next offseason? (rss:espn)	https://www.espn.com/nfl/story/_/id/49797170/nfl-player-extension-trade-free-agency
131	Daniel Jones	QB	QB24	QB24	QB19	QB-T9	IND	13	29.3	8	6'5"	230	4.81	1	17	183.8	230.4	13	147.99	113	255	173	160.0	35				
132	Cam Ward	QB	QB25	QB25	QB26	QB-T9	TEN	9	24.3	2	6'2"	219		1	25	174.9	200.7	17	156.55	128	255	315	169.2	18			'He's not going to fail': Why the Titans coach put his job on the line for QB Cam Ward (rss:espn)	https://www.espn.com/nfl/story/_/id/49785594/tennessee-titans-cam-ward-putting-job-line-robert-saleh
133	Bryce Young	QB	QB26	QB26	QB25	QB-T9	CAR	5	25.1	4	5'10"	192		1	39	167.7	220.0	16	172.12	134	326	313	168.9	23				
134	Jacoby Brissett	QB	QB27	QB27	QB27	QB-T9	ARI	14	33.7	11	6'4"	235	4.94	1	60	158.9	233.4	14	194.36	129	338	317	169.9	16				
135	Aaron Rodgers	QB	QB28	QB28	QB30	QB-T9	PIT	9	42.7	22	6'2"	223	4.71	1	82	152.0	226.1	16	216.72	153	341	385	169.2	12			Aaron Rodgers is in a four-quarterback room for the first time (rss:yahoo)	https://sports.yahoo.com/articles/aaron-rodgers-four-quarterback-room-233606549.html
136	Geno Smith	QB	QB29	QB29	QB28	QB-T9	NYJ	13	35.9	14	6'3"	221	4.58	1	86	139.9	173.9	15	222.37	147	342	379	170.0	8			Mason Taylor putting in the work with expectations raised for second Jets season (rss:yahoo)	https://sports.yahoo.com/articles/mason-taylor-putting-expectations-raised-011252895.html
137	Fernando Mendoza	QB	QB30	QB30	QB29	QB-T9	LV	13	22.9	R	6'5"	236		1	122	125.4			259.46	159	368	383	168.5	26	DROP		The NFL Rookie Progress Report: How all 257 draft picks are faring with their new teams (rss:espn)	https://www.espn.com/nfl/story/_/id/49717208/nfl-rookie-2026-nfl-draft-training-camp-preseason-257-picks-report-cards
138	Tua Tagovailoa	QB	QB31	QB31	QB32	QB-T9	ATL	11	28.5	7	6'1"	225		1	134	120.4	160.7	14	272.03	139	348	422	170.1	13				
139	Michael Penix Jr.	QB	QB32	QB32	QB35	QB-T9	ATL	11	26.3	3	6'3"	220		1	148	113.1	122.3	9	286.52	199	346	440	170.1	5			Falcons QB Michael Penix the eventual starter? (rss:yahoo)	https://sports.yahoo.com/articles/falcons-qb-michael-penix-eventual-014631627.html
140	Wan'Dale Robinson	WR	WR38	WR38	WR47	WR-T12	TEN	9	25.7	5	5'8"	185	4.44	1	-54	109.8	125.9	16	85.58	48	123	139	113.4	73				
141	Josh Downs	WR	WR39	WR39	WR50	WR-T12	IND	13	25.1	4	5'9"	171	4.48	1	-54	107.6	80.4	16	87.25	52	133	154	136.6	78				
142	Michael Wilson	WR	WR40	WR40	WR41	WR-T12	ARI	14	26.5	4	6'2"	213	4.58	1	-54	104.6	142.6	17	88.37	52	133	106	102.6	85			Report: Cardinals have "movement" in talks with WR Michael Wilson (rss:pft)	https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/report-cardinals-have-movement-in-talks-with-wr-michael-wilson
143	Kirk Cousins	QB	QB33	QB33	QB34	QB-T9	LV	13	38.0	15	6'3"	214	4.84	1	146	103.3	103.5	10	288.51	179	347	430	170.0	5	ADD		Raiders name Cousins starting QB for Week 1 (rss:espn)	https://www.espn.com/nfl/story/_/id/49804802/raiders-name-kirk-cousins-starting-qb-week-1-fernando-mendoza
144	Quentin Johnston	WR	WR41	WR41	WR45	WR-T12	LAC	7	25.0	4	6'2"	208		1	-48	102.9	120.2	13	95.75	64	134	110	130.4	76				
145	Stefon Diggs	WR	WR42	WR42	WR51	WR-T12	WAS	7	32.8	12	6'0"	191	4.46	1	-49	102.3	125.3	17	96.49	48	215	155	102.8	79				
146	Alec Pierce	WR	WR43	WR43	WR32	WR-T12	IND	13	26.3	5	6'3"	211	4.41	1	-46	101.2	136.3	15	100.32	62	142	75	108.5	84				
147	Jayden Reed	WR	WR44	WR44	WR48	WR-T12	GB	11	26.3	4	5'11"	187	4.45	1	-43	100.5	29.5	5	104.21	76	133	140	138.8	78				
148	Jacory Croskey-Merritt	RB	RB38	RB38	RB36	RB-T11	WAS	7	25.4	2	5'11"	208		1	-34	98.8	131.3	17	113.67	72	135	132	135.9	76				
149	Jakobi Meyers	WR	WR45	WR45	WR42	WR-T12	JAC	7	29.8	8	6'2"	200	4.63	1	-44	98.0	100.8	16	104.5	68	150	107	122.3	72				
150	Jordan Mason	RB	RB39	RB39	RB38	RB-T11	MIN	6	27.3	5	5'11"	230		1	-34	97.2	114.9	16	115.68	75	152	144	139.0	71				
