Rank,Player,Pos,Us_Pos,ECR_Pos,ESPN_Pos,Tier,Team,Bye,Age,Exp,Ht,Wt,40yd,OurValue$,vsECR,ADP,vsADP,Mkt30d,ProjPts,P10,P50,P90,2025Pts,2025Gms,ECR,ECR_Best,ECR_Worst,ESPN_Rank,ESPN_ADP,Rostered%,SleeperBuzz,Depth,Latest News,NewsURL,Eligible
24,A.J. Brown,WR,WR8,WR8,WR10,WR-T2,NE,11,29.2,8,6'1",226,4.49,47,-10,17,-7,632,181.7,100.2,187,255.1,181.3,15,13.73,6,40,26,21.5,100,,,Latest injury updates should mean even bigger role for A.J. Brown in Super Bowl rematch vs. Seahawks (rss:yardbarker),https://www.yardbarker.com/nfl/articles/latest_injury_updates_should_mean_even_bigger_role_for_aj_brown_in_super_bowl_rematch_vs_seahawks/s1_13132_44279179,WR
25,Joe Burrow,QB,QB5,QB4,QB6,QB-T2,CIN,6,29.7,7,6'4",215,,46,20,54.6,30,-443,279.6,127.1,294.4,417.3,134.5,8,44.89,27,74,81,52.7,99,,,Joe Burrow silences any doubts about staying with the Bengals (rss:yahoo),https://sports.yahoo.com/articles/joe-burrow-silences-doubts-staying-224912598.html,QB
26,George Pickens,WR,WR9,WR11,WR12,WR-T2,DAL,14,25.5,5,6'3",205,4.47,45,-6,19.9,-6,-217,179.8,96.4,185.1,254.8,245.4,17,20.43,9,40,28,28.3,100,,,,,WR
27,Saquon Barkley,RB,RB11,RB8,RB8,RB-T3,PHI,10,29.6,9,6'0",232,4.4,45,-3,16.7,-10,342,174.6,52.6,178,296.3,213.8,16,23.6,10,41,15,14.1,100,,,,,RB
28,Jayden Daniels,QB,QB6,QB5,QB2,QB-T2,WAS,7,25.7,3,6'4",210,,44,29,72.4,44,-756,277.1,130,287.8,409.8,114.3,7,56.6,27,101,56,52.3,99,,,Jayden Daniels among 5 Commanders captains (rss:pft),https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/jayden-daniels-among-5-commanders-captains,QB
29,Chris Olave,WR,WR10,WR10,WR13,WR-T2,NO,8,26.2,5,6'0",187,4.39,44,-12,22.2,-7,422,177.6,86.1,189.6,255.3,218,16,17.37,9,36,29,29.8,99,,,,,WR
30,Nico Collins,WR,WR11,WR9,WR9,WR-T2,HOU,8,27.5,6,6'4",222,4.43,44,-14,21,-9,287,177.4,72.5,188.3,258.9,190.7,15,16,9,28,25,25.9,100,,,,,WR
31,Rashee Rice,WR,WR12,WR14,WR8,WR-T2,KC,5,26.4,4,6'1",203,4.51,43,-4,18.3,-13,115,176.6,70.6,182,269.1,123.6,8,27.1,11,68,24,29.2,99,,,,,WR
32,Jalen Hurts,QB,QB7,QB6,QB5,QB-T2,PHI,10,28.1,7,6'1",223,4.59,42,25,77.2,45,143,274.6,127.6,284.7,406.7,301.1,16,57.19,30,81,62,53.7,99,,,,,QB
33,Justin Herbert,QB,QB8,QB8,QB14,QB-T2,LAC,7,28.5,7,6'6",236,4.68,42,39,103,70,-234,274.4,128.1,290.8,410.5,286.9,16,71.81,37,104,111,85.7,94,,,,,QB
