Rank,Player,Pos,Us_Pos,ECR_Pos,ESPN_Pos,Tier,Team,Bye,Age,Exp,Ht,Wt,40yd,OurValue$,vsECR,ADP,vsADP,Mkt30d,ProjPts,P10,P50,P90,2025Pts,2025Gms,ECR,ECR_Best,ECR_Worst,ESPN_Rank,ESPN_ADP,Rostered%,SleeperBuzz,Depth,Latest News,NewsURL,Eligible
117,Brenton Strange,TE,TE14,TE17,TE20,TE-T6,JAC,7,25.7,4,6'4",253,4.7,2,44,160.6,44,-110,98.7,30.5,93,174,95,12,160.94,111,236,210,168.8,38,DROP,,,,TE
118,Jordan Love,QB,QB17,QB18,QB22,QB-T8,GB,11,27.8,7,6'4",219,4.74,1,-2,142.5,25,-60,218.7,56.7,232.8,338.8,235.1,15,116.43,98,145,273,155.5,57,,,,,QB
119,Brock Purdy,QB,QB18,QB11,QB11,QB-T8,SF,8,26.7,5,6'1",220,4.84,1,-23,88.5,-30,-333,212.4,43.5,228,323.6,177.4,9,96.42,63,119,99,108.7,86,,,,,QB
120,Baker Mayfield,QB,QB19,QB19,QB20,QB-T8,TB,10,31.4,9,6'1",215,4.84,1,-2,134.5,15,25,206.8,28,221.8,332.1,271.9,17,118.46,92,144,189,147.6,61,,,Grading the move: Why the Bucs gave Baker Mayfield the largest contract in franchise history (rss:espn),https://www.espn.com/nfl/story/_/id/49872406/key-intel-grade,QB
121,Tyler Shough,QB,QB20,QB20,QB17,QB-T8,NO,8,26.9,2,6'5",219,4.63,1,4,142.2,21,-188,190.1,25.2,199.3,330.5,158,11,125.2,98,183,164,152.6,45,,,,,QB
122,C.J. Stroud,QB,QB21,QB23,QB23,QB-T8,HOU,8,24.9,4,6'3",218,,1,21,161,39,-131,178.7,10.9,193.5,341.2,208.5,14,143.15,108,208,276,165.3,28,,,Why C.J. Stroud is confident ahead of the biggest season of his life (rss:espn),https://www.espn.com/nfl/story/_/id/49826332/houston-texans-cj-stroud-confident-contract-year-4,QB
123,Sam Darnold,QB,QB22,QB22,QB24,QB-T8,SEA,11,29.2,9,6'3",225,4.85,1,15,152.7,30,65,177.1,11,186.6,354.5,235.4,17,138.31,113,212,280,162.6,38,,,Why Baker Mayfield’s new contract is relevant to Seahawks  Sam Darnold (rss:yahoo),https://sports.yahoo.com/articles/why-baker-mayfield-contract-relevant-021500252.html,QB
124,Bryce Young,QB,QB23,QB26,QB25,QB-T8,CAR,5,25.1,4,5'10",204,,1,46,,,-147,176.6,23.1,152,364.1,218,16,169.51,134,326,313,168.7,16,,,,,QB
125,Daniel Jones,QB,QB24,QB24,QB19,QB-T8,IND,13,29.3,8,6'5",230,4.81,1,21,160.3,35,-95,176.4,7.1,155.6,356.5,226.4,13,146.36,119,255,170,161,30,,,,,QB
126,Cam Ward,QB,QB25,QB25,QB26,QB-T8,TEN,9,24.3,2,6'2",219,,1,33,,,-128,172.7,23.1,162.6,342.8,186.7,17,158.85,119,255,315,169.2,15,,,,,QB
127,Malik Willis,QB,QB26,QB21,QB21,QB-T8,MIA,6,27.3,5,6'1",225,,1,2,161.4,34,-6,159.4,22.4,147.3,311.5,51.2,4,128.78,104,255,192,167.4,33,ADD,,,,QB
128,Fernando Mendoza,QB,QB27,QB30,QB29,QB-T8,LV,13,22.9,R,6'5",225,,1,133,,,-38,157.2,22,126.2,324.3,,,261.28,159,343,382,168.8,19,DROP,,2026 NFL Preseason All-Rookie Team: Fernando Mendoza  Caleb Downs headline selections (rss:cbs),https://www.cbssports.com/nfl/news/2026-nfl-all-rookie-team/,QB
129,Jacoby Brissett,QB,QB28,QB27,QB27,QB-T8,ARI,14,33.7,11,6'4",235,4.94,1,68,172.1,43,-37,153,22.3,124.6,315.5,227.4,14,196.67,139,338,317,169.8,9,,,,,QB
130,Aaron Rodgers,QB,QB29,QB28,QB30,QB-T8,PIT,9,42.7,22,6'2",223,4.71,1,83,,,23,142.5,14,114.4,319.6,226.6,16,213.2,139,341,384,169.1,11,,,,,QB
131,Tua Tagovailoa,QB,QB30,QB31,QB32,QB-T8,ATL,11,28.5,7,6'1",225,,1,151,,,-12,134.9,4.5,101.4,309.4,160.7,14,281.77,153,344,421,170.1,6,,,Falcons name Tua Tagovailoa starting QB: What to expect from former Dolphins Pro Bowler (rss:cbs),https://www.cbssports.com/nfl/news/falcons-qb-starter-tua-tagovailoa-michael-penix-jr/,QB
132,Geno Smith,QB,QB31,QB29,QB28,QB-T8,NYJ,13,35.9,14,6'3",221,4.58,1,96,,,-33,134.3,3.3,100.1,324.6,173.9,15,227.97,147,342,378,170,7,,,Geno Smith calls it an "honor" to make his first start for Jets since 2016 (rss:pft),https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/geno-smith-calls-it-an-honor-to-make-his-first-start-for-jets-since-2016,QB
133,Michael Penix Jr.,QB,QB32,QB32,QB35,QB-T8,ATL,11,26.3,3,6'3",220,,1,149,,,,126.3,1.6,89.1,333.4,120.3,9,282.37,174,345,439,170.1,4,,,,,QB
134,Alec Pierce,WR,WR41,WR43,WR32,WR-T11,IND,13,26.3,5,6'3",211,4.41,1,-34,61.7,-72,-176,119.6,34.8,119,207.7,159.8,15,100.28,52,142,75,104.7,86,,,,,WR
135,Courtland Sutton,WR,WR42,WR38,WR28,WR-T11,DEN,10,30.9,9,6'4",216,4.54,1,-49,61,-74,-331,117,30.5,116.2,202.7,182.7,17,86.25,55,121,55,82.5,91,,,,,WR
136,Michael Pittman Jr.,WR,WR43,WR36,WR36,WR-T11,PIT,9,28.9,7,6'4",223,4.52,1,-54,81.1,-55,-145,116.1,30.3,108.9,201.5,162.4,17,81.63,52,116,88,91,84,,,,,WR
137,Andy Borregales,K,K11,K11,K25,K-T2,NE,11,23.7,2,5'11",202,,1,87,,,,114.8,42.5,122.1,158,0,17,223.71,194,282,494,170,16,,,,,K
138,Jaylen Warren,RB,RB25,RB27,RB27,RB-T7,PIT,9,27.8,5,5'8",215,4.55,1,-64,68.4,-70,-154,114.6,24.8,109.1,203.5,197.1,16,74.43,56,99,70,85.7,92,,,,,RB
139,Bhayshul Tuten,RB,RB26,RB23,RB22,RB-T7,JAC,7,23.5,,5'9",209,4.32,1,-73,52,-87,-72,114,26.8,106,207,83.6,15,65.97,43,89,64,62.9,95,,,,,RB
140,Chase McLaughlin,K,K12,K12,K14,K-T2,TB,10,30.4,8,6'0",190,,1,88,150.1,10,,113.5,38.4,120.8,159.3,0,17,228.08,192,333,338,170.2,14,,,,,K
141,J.J. McCarthy,QB,QB33,QB38,QB36,QB-T8,MIN,6,23.6,3,6'3",219,,1,189,,,,113.3,0.8,68.2,325.7,125.4,10,330.44,269,386,446,169.9,2,,,,,QB
142,Deshaun Watson,QB,QB34,QB34,QB31,QB-T8,CLE,11,31,10,6'3",223,4.66,1,150,,,25,112.4,0,68.1,272.7,,,291.93,179,346,386,170.1,5,,,,,QB
143,Quentin Johnston,WR,WR44,WR42,WR43,WR-T11,LAC,7,25,4,6'2",208,,1,-49,84.8,-58,381,112.4,32.6,105.4,199,145.7,13,93.76,68,149,108,135.4,79,,,,,WR
144,RJ Harvey,RB,RB27,RB31,RB44,RB-T7,DEN,10,25.6,2,5'8",205,4.4,1,-49,103.9,-40,316,112.2,21.7,105.5,213.4,183.1,17,94.71,61,143,173,129.2,84,,,,,RB
145,Chris Boswell,K,K13,K15,K13,K-T2,PIT,9,35.5,12,6'2",185,4.93,1,99,,,,112.1,44.6,118.9,153.9,0,17,244.39,200,329,337,165,40,,,,,K
146,Harrison Butker,K,K14,K14,K7,K-T2,KC,5,31.1,10,6'4",205,,1,98,149.5,4,,112.1,39.8,118.4,159,0,17,243.9,207,333,249,144.2,50,,,,,K
147,Harrison Mevis,K,K15,K13,K4,K-T2,LAR,11,24.4,2,6'0",245,,1,83,141.1,-6,,112.1,51.9,118.2,156.9,0,9,229.98,193,333,243,129.1,80,,,,,K
148,Wil Lutz,K,K16,K17,K21,K-T2,DEN,10,32.2,11,5'11",184,,1,118,172.6,25,,112.1,52.1,117.1,157.3,0,17,265.87,182,333,489,169.5,12,,,,,K
149,Will Reichard,K,K17,K16,K12,K-T2,MIN,6,25.6,3,6'1",190,,1,103,148.9,0,,112.1,55.9,119.3,155.9,0,17,251.58,198,331,259,167.8,49,,,,,K
150,Daniel Carlson,K,K18,K18,K20,K-T2,NO,8,31.6,9,6'5",222,,1,116,,,,111.9,39.1,121.7,156.4,0,17,266.18,209,402,488,170.1,1,,,,,K
151,Nick Folk,K,K19,K19,K16,K-T2,ATL,11,41.8,19,6'1",225,4.95,1,116,,,,111.7,45,120.1,154.4,0,16,266.63,187,365,363,170.2,3,,,,,K
152,Jayden Reed,WR,WR45,WR44,WR46,WR-T11,GB,11,26.3,4,5'11",187,4.45,1,-49,85.3,-67,64,111.3,32.9,100.5,198.9,39,5,103.17,64,140,137,140,81,,,,,WR
153,Rhamondre Stevenson,RB,RB28,RB26,RB26,RB-T7,NE,11,28.5,6,6'0",227,4.64,1,-79,63.6,-89,409,110.9,20.4,106.7,216.5,162.8,14,74.02,56,118,69,76.7,92,,,,,RB
154,Jordan Addison,WR,WR46,WR46,WR39,WR-T11,MIN,6,24.6,4,5'11",179,4.49,1,-46,88.9,-65,237,110.7,32.8,99.8,199.2,114.1,14,107.99,68,150,91,125.3,83,,,,,WR
155,Spencer Shrader,K,K20,K20,K18,K-T2,IND,13,27.3,3,6'2",201,,1,113,,,,110.4,43.9,119.2,151.7,0,5,267.56,216,325,410,170.1,3,,,,,K
156,Josh Downs,WR,WR47,WR39,WR50,WR-T11,IND,13,25.1,4,5'9",171,4.48,1,-68,97.9,-58,-199,109.6,32.5,98,199.1,109.4,16,88,52,133,153,138.2,80,,,,,WR
157,Jordyn Tyson,WR,WR48,WR55,WR64,WR-T11,NO,8,22.1,R,6'2",200,,1,-18,,,-1051,109.3,32.5,100.4,188.5,,,138.63,71,232,195,168,60,DROP,,,,WR
158,Trey Smack,K,K21,K21,K17,K-T2,GB,11,23.1,R,6'1",188,,1,112,168,10,,109.1,22.3,124.7,158.1,,,269.91,212,352,409,168.3,13,,,,,K
159,Rachaad White,RB,RB29,RB37,RB41,RB-T7,WAS,7,27.6,5,6'0",214,4.48,1,-47,128,-31,46,108,27.9,108.5,205.7,123,17,112.32,75,148,150,129.4,69,,,,,RB
160,Blake Grupe,K,K22,K23,K29,K-T2,NYJ,13,27.8,4,5'7",156,,1,120,,,,107.8,22.1,118.5,155,0,16,279.5,205,363,503,169.9,1,,,,,K
161,Charlie Smyth,K,K23,K25,,K-T2,NO,8,25.2,2,6'4",210,,1,124,,,,107.8,21.8,113.3,155.7,0,6,284.75,192,359,,,1,,,,,K
162,Ryan Fitzgerald,K,K24,K24,K26,K-T2,CAR,5,26.1,2,5'11",193,,1,121,,,,107.8,35.4,114.7,153.3,0,17,282.57,203,406,497,169.8,1,,,,,K
163,Tyler Bass,K,K25,K22,K22,K-T2,BUF,7,29.5,7,5'10",183,,1,112,,,,107.8,31.7,116.9,156.2,,,275.3,216,407,490,169.5,7,,,,,K
164,Ben Sauls,K,K26,K28,,K-T2,FA,,25.1,R,5'10",185,,1,126,,,,107.4,51.8,114.2,152.2,0,3,290.4,192,450,,,1,,,,,K
165,Brandon McManus,K,K27,K27,K32,K-T2,FA,,35.1,12,6'3",201,,1,125,,,,107.4,39.8,114.2,150.9,0,14,290.2,198,392,1769,170,1,,,,,K
166,Zane Gonzalez,K,K28,K26,K31,K-T2,FA,,31.3,8,6'0",200,,1,124,,,,107.4,38.3,115.9,152,0,9,290.18,203,405,1745,170,2,,,,,K
167,Jakobi Meyers,WR,WR49,WR45,WR42,WR-T11,JAC,7,29.8,8,6'2",200,4.63,1,-59,93.5,-73,-178,107.2,31.2,100.5,177.5,138.3,16,107.87,71,150,107,121.3,71,,,,,WR
168,Stefon Diggs,WR,WR50,WR41,WR49,WR-T11,WAS,7,32.8,12,6'0",191,4.46,1,-74,100.9,-67,-108,107.2,31.2,100.4,177.4,167.8,17,93.69,55,224,152,104.8,85,,,,,WR
169,Joey Slye,K,K29,K29,K27,K-T2,TEN,9,30.4,8,5'11",228,,1,126,,,,106.1,36.2,115.3,154.8,0,16,295.14,203,401,499,169.9,1,,,,,K
170,MarShawn Lloyd,RB,RB30,RB35,RB34,RB-T7,GB,11,25.7,3,5'9",220,4.46,1,-64,113.3,-57,1225,104.4,22.2,97.7,210.8,,,106.21,58,284,128,105,77,ADD,,,,RB
171,Tyjae Spears,RB,RB31,RB44,RB46,RB-T7,TEN,9,25.2,4,5'11",200,,1,-31,144.6,-26,99,103.9,17.1,88.6,218,89.2,13,140.39,89,182,177,151.3,46,,,,,RB
172,DET D/ST,DST,DST14,DST14,,DST-T2,DET,6,,,,,,1,48,,,,103.6,62.5,100.1,146.6,,,220.28,185,355,,,62,,,,,DST
173,Khalil Shakir,WR,WR51,WR50,WR45,WR-T11,BUF,7,26.6,5,6'0",190,4.43,1,-50,107.8,-65,-82,103.1,29.7,94.7,173.8,130.4,16,122.63,69,168,110,138.7,60,,,,,WR
174,Jalen Coker,WR,WR52,WR52,WR55,WR-T11,CAR,5,24.8,3,6'3",213,4.57,1,-49,114.4,-60,47,103,26.3,94.6,180.1,73.9,11,124.94,91,176,159,154.6,57,,,,,WR
175,Denzel Boston,WR,WR53,WR58,WR58,WR-T11,CLE,11,22.7,R,6'4",215,,1,-21,137.1,-38,-29,102.8,21.6,94.7,185.8,,,153.85,107,299,180,168.8,35,,,,,WR
176,Romeo Doubs,WR,WR54,WR53,WR54,WR-T11,NE,11,26.4,5,6'2",210,,1,-49,96.4,-80,139,102.4,23.1,99,192.5,137.9,16,126.88,90,180,157,148.8,63,,,,,WR
177,Rico Dowdle,RB,RB32,RB29,RB25,RB-T7,PIT,9,28.2,7,6'0",215,4.54,1,-90,79,-98,94,102.1,18,88.5,205.1,196.8,17,87.26,66,120,68,97.8,90,,,,,RB
178,Josh Jacobs,RB,RB33,RB46,RB32,RB-T7,GB,11,28.6,8,5'10",223,,1,-30,84.8,-93,-3007,101.8,13.3,83.6,227.7,219.1,15,147.99,39,394,120,101.2,94,DROP,,Packers' plan at running back revealed with Josh Jacobs situation in flux (rss:yardbarker),https://www.yardbarker.com/nfl/articles/packers_plan_at_running_back_revealed_with_josh_jacobs_situation_in_flux/s1_13132_44278769,RB
179,CLE D/ST,DST,DST15,DST15,,DST-T2,CLE,11,,,,,,1,42,,,,101.3,62.1,100.3,137,,,220.74,185,325,,,20,,,,,DST
180,J.K. Dobbins,RB,RB34,RB34,RB31,RB-T7,DEN,10,27.7,7,5'10",212,,1,-78,78.4,-102,150,100.8,13.4,83.7,231.1,110.4,10,102.38,72,132,119,111.8,87,,,,,RB
181,Carson Beck,QB,QB35,QB37,QB37,QB-T8,ARI,14,24.8,R,6'4",233,,1,142,,,,100.2,0,59.5,248.6,,,322.53,271,376,450,170,3,,,,,QB
182,Blake Corum,RB,RB35,RB36,RB39,RB-T7,LAR,11,25.8,3,5'8",202,4.53,1,-72,115.3,-67,110,100.2,15.1,83.7,215,118.2,17,109.75,78,141,148,127.6,83,,,,,RB
183,BUF D/ST,DST,DST16,DST16,,DST-T2,BUF,7,,,,,,1,44,,,,99.6,57.7,97.4,141.5,,,227.03,189,343,,,31,,,,,DST
184,DAL D/ST,DST,DST17,DST18,,DST-T2,DAL,14,,,,,,1,64,,,,99.6,57.7,97.2,143.8,,,247.62,166,364,,,25,,,,,DST
185,NO D/ST,DST,DST18,DST19,,DST-T2,NO,8,,,,,,1,77,,,,99.6,51.8,97.6,149.6,,,261.57,172,353,,,17,,,,,DST
186,SF D/ST,DST,DST19,DST20,,DST-T2,SF,8,,,,,,1,78,,,,99.6,52.1,98.2,148.1,,,264.07,194,356,,,17,,,,,DST
187,TEN D/ST,DST,DST20,DST17,,DST-T2,TEN,9,,,,,,1,49,,,,99.6,52.4,99.7,147.5,,,235.78,188,354,,,10,,,,,DST
188,Chad Ryland,K,K30,K30,K28,K-T2,ARI,14,26.9,4,6'0",195,,1,108,,,,98.4,29.4,108.3,148.2,0,17,296.33,197,391,501,169.9,1,,,,,K
189,Matthew Golden,WR,WR55,WR51,WR38,WR-T11,GB,11,23.1,2,5'11",191,4.29,1,-64,96,-93,43,98.3,17.5,91.6,188,55.5,14,124.75,81,202,90,115.9,79,,,,,WR
190,Jake Elliott,K,K31,K31,K19,K-T2,PHI,10,31.6,10,5'9",167,4.79,1,113,,,,98.2,25.5,109.6,156.1,0,17,303.27,197,380,487,169.1,8,,,,,K
191,Hunter Henry,TE,TE15,TE20,TE16,TE-T7,NE,11,31.7,11,6'5",249,4.79,1,-24,158.9,-32,-78,98,37,90.3,174.7,148.8,17,167.1,112,236,144,153.2,60,,,,,TE
192,T.J. Hockenson,TE,TE16,TE21,TE19,TE-T7,MIN,6,29.2,8,6'5",248,4.7,1,-4,139.2,-53,-67,98,32.9,95.4,170.3,87.3,15,188.02,87,299,207,154.5,44,,,,,TE
193,Mark Andrews,TE,TE17,TE16,TE12,TE-T7,BAL,13,31,9,6'5",250,4.67,1,-59,135.1,-58,-135,97.5,31.9,96,188.7,107,17,133.61,87,236,132,126.6,84,,,,,TE
194,Jake Ferguson,TE,TE18,TE14,TE13,TE-T7,DAL,14,27.6,5,6'5",250,4.81,1,-74,146.5,-47,-81,97.4,30.2,94.3,179.7,147.1,17,119.93,81,181,133,115.3,84,,,,,TE
195,CIN D/ST,DST,DST21,DST21,,DST-T2,CIN,6,,,,,,1,73,,,,96.7,51.1,93.7,146.5,,,268,190,353,,,3,,,,,DST
196,Kayshon Boutte,WR,WR56,WR61,WR80,WR-T11,HOU,8,24.3,4,5'11",203,4.5,1,-26,150.1,-46,83,96.6,16.9,89.1,197,107.6,14,169.75,121,277,304,170.5,18,,,,,WR
197,Drew Stevens,K,K32,K32,K24,K-T2,WAS,7,22.7,R,6'1",213,,1,107,,,,96.5,21.2,109.5,162,,,304,253,362,493,169.9,1,,,,,K
198,Xavier Worthy,WR,WR57,WR54,WR44,WR-T11,KC,5,23.3,3,5'11",165,4.21,1,-68,95.1,-103,-39,95.8,16.7,89.2,188.4,88.9,14,129.83,100,180,109,133.6,68,,,,,WR
199,Ty Simpson,QB,QB36,QB46,QB41,QB-T8,LAR,11,23.7,R,6'1",211,,1,151,,,,95.7,0.7,56.9,254.9,,,350.1,301,400,475,170,3,,,,,QB
200,Ja'Kobi Lane,WR,WR58,WR76,WR72,WR-T11,BAL,13,22.1,R,6'4",205,4.47,1,10,157,-43,239,95,16.6,89.3,183.1,,,209.7,128,331,270,169.2,29,,,,,WR
201,David Montgomery,RB,RB36,RB21,RB23,RB-T7,HOU,8,29.2,8,5'11",230,4.63,1,-141,55.5,-145,87,94.9,14.1,78.1,205.2,154.9,17,60.31,41,78,65,62.6,96,,,,,RB
202,Mike Washington Jr.,RB,RB37,RB49,RB47,RB-T7,LV,13,23.2,,6'2",197,4.33,1,-49,161.7,-40,582,94.2,10.2,85.8,201.7,,,152.53,103,248,178,162.8,52,,,,,RB
203,Jordan Mason,RB,RB38,RB38,RB38,RB-T7,MIN,6,27.3,5,5'11",230,,1,-89,112.7,-90,277,93.9,13.3,84.3,194.4,121.9,16,113.61,75,148,142,141,77,,,,,RB
204,Keaton Mitchell,RB,RB39,RB50,RB50,RB-T7,LAC,7,24.6,4,5'8",191,4.37,1,-51,148.3,-56,-24,93.4,14.1,78.8,202,50.9,13,152.54,102,314,202,169,33,ADD,,,,RB
205,Jalen McMillan,WR,WR59,WR64,WR57,WR-T11,TB,10,24.7,3,6'1",192,4.47,1,-29,132.2,-73,-5,93.4,16.4,84.9,181.4,23.9,4,175.82,137,296,161,163.1,22,,,,,WR
206,Tre Tucker,WR,WR60,WR59,WR65,WR-T11,LV,13,25.5,4,5'8",182,4.4,1,-47,131,-75,80,93.1,21.7,85.5,190.8,133.2,17,159.03,115,247,196,169.4,28,ADD,,,,WR
207,Omar Cooper Jr.,WR,WR61,WR65,WR79,WR-T11,NYJ,13,22.7,R,6'0",199,4.42,1,-25,,,-61,92.9,14.6,84.2,176,,,181.61,123,302,302,171,16,DROP,,,,WR
208,Caleb Douglas,WR,WR62,WR75,WR63,WR-T11,MIA,6,23,R,6'4",205,4.39,1,-2,175.2,-33,34,92.8,23.5,81.1,194.4,,,205.67,126,327,188,170.8,15,ADD,,,,WR
209,ATL D/ST,DST,DST22,DST23,,DST-T2,ATL,11,,,,,,1,62,,,,92.7,50.3,91.3,143.8,,,271.34,183,356,,,9,,,,,DST
210,CHI D/ST,DST,DST23,DST22,,DST-T2,CHI,10,,,,,,1,59,,,,92.7,53,92.4,135.7,,,268.72,167,354,,,13,,,,,DST
211,Tyrone Tracy Jr.,RB,RB40,RB54,RB75,RB-T7,NYG,8,26.8,3,5'11",210,4.48,1,-37,,,-180,92.6,14.6,75.7,206.1,142.8,15,173.85,120,311,348,170.3,24,,,,,RB
212,Drew Allar,QB,QB37,QB39,QB46,QB-T8,PIT,9,22.5,R,6'5",228,,1,120,,,,92.5,2.1,55.2,241.9,,,332,320,344,1221,170,1,,,,,QB
213,IND D/ST,DST,DST24,DST26,,DST-T2,IND,13,,,,,,1,67,,,,92.4,50.2,88.8,143.8,,,280.47,190,356,,,15,,,,,DST
214,LV D/ST,DST,DST25,DST27,,DST-T2,LV,13,,,,,,1,68,,,,92.4,48.3,88.7,144.7,,,281.5,188,359,,,9,,,,,DST
215,NYG D/ST,DST,DST26,DST24,,DST-T2,NYG,8,,,,,,1,57,,,,92.4,48,90.1,143.8,,,271.9,172,384,,,14,,,,,DST
216,WAS D/ST,DST,DST27,DST25,,DST-T2,WAS,7,,,,,,1,61,,,,92.4,46.8,87.4,144.1,,,276.5,190,400,,,6,,,,,DST
217,Zach Charbonnet,RB,RB41,RB51,RB43,RB-T7,SEA,11,25.6,4,6'1",220,4.53,1,-61,141.7,-75,-180,92.4,14.9,74.5,200.6,171.4,16,156.22,117,292,172,155.9,56,,,,,RB
218,Dalton Schultz,TE,TE19,TE18,TE23,TE-T7,HOU,8,30.1,9,6'5",242,4.75,1,-56,,,-38,92.2,28.5,89.7,162.2,136.7,17,162.07,111,206,297,168.9,31,,,,,TE
219,Davis Mills,QB,QB38,QB56,QB51,QB-T8,HOU,8,27.9,6,6'4",225,4.82,1,144,,,,91.4,0.9,48.2,263.5,68.6,6,363,332,392,1253,170,1,,,,,QB
220,Dominic Zvada,K,K33,K33,K23,K-T2,NYG,8,22.9,R,6'3",187,,1,122,,,,90.6,19.5,110.3,156.8,,,342,324,371,491,169.8,2,,,,,K
221,Isaiah Likely,TE,TE20,TE12,TE15,TE-T7,NYG,8,26.4,5,6'4",241,,1,-102,132.8,-88,110,90.4,25.9,85.9,160.1,48.2,12,118.57,87,226,143,122.8,85,,,,,TE
222,Braelon Allen,RB,RB42,RB55,RB52,RB-T7,NYJ,13,22.6,3,6'1",235,,1,-44,155.2,-67,-3,90,14.9,68.6,208.4,14.3,4,177.59,132,292,205,171,17,,,,,RB
223,Deebo Samuel Sr.,WR,WR63,WR56,WR53,WR-T11,SF,8,30.6,8,6'0",215,4.48,1,-82,111.2,-112,237,90,10.1,79,194.6,152.2,16,140.72,83,241,156,145.3,63,,,,,WR
224,Justin Fields,QB,QB39,QB43,QB38,QB-T8,KC,5,27.5,6,6'3",227,4.45,1,120,,,,89.5,0.9,43.2,275.6,142.7,9,344.12,300,388,452,170,2,,,,,QB
225,Cyrus Allen,WR,WR64,WR79,WR106,WR-T11,KC,5,23.6,R,5'11",180,,1,-6,,,98,89.4,6.6,79.2,178.5,,,219.45,133,435,980,169.9,14,DROP,,,,WR
226,Travis Hunter,WR,WR65,WR73,WR62,WR-T11,JAC,7,23.3,2,6'1",185,,1,-28,,,-158,89.4,5,76.2,178.5,49.8,7,197.59,128,347,187,127.1,65,DROP,,,,WR
227,Jake Browning,QB,QB40,QB36,,QB-T8,FA,,30.4,3,6'2",210,4.74,1,90,,,,89.1,0.6,33.9,293.1,48.7,5,316.5,308,325,,,1,,,,,QB
228,Dylan Sampson,RB,RB43,RB47,RB55,RB-T7,CLE,11,22,2,5'8",201,,1,-79,175.6,-52,9,89.1,15,77.8,179.2,71.1,15,148.97,89,231,221,169.5,21,,,,,RB
229,Jerry Jeudy,WR,WR66,WR62,WR59,WR-T11,CLE,11,27.4,7,6'1",195,4.45,1,-59,127.8,-101,-30,88.8,5.4,75.6,184.9,95.7,17,170.19,115,272,181,168.7,22,DROP,,,,WR
230,Mason Taylor,TE,TE21,TE34,TE41,TE-T7,NYJ,13,22.3,2,6'5",251,,1,46,,,,88.6,22.4,84.3,154.9,66.9,13,276.24,203,342,463,170,3,,,,,TE
231,Kenny Gainwell,RB,RB44,RB32,RB35,RB-T7,TB,10,27.5,6,5'9",200,,1,-133,108,-123,218,88.2,8.4,79.1,177,184.8,17,98.34,67,143,129,100.5,82,,,,,RB
232,Tony Pollard,RB,RB45,RB28,RB29,RB-T7,TEN,9,29.3,8,6'0",209,4.52,1,-147,69.6,-162,379,88.1,5.2,78.3,172,169.3,17,84.99,65,120,117,86.4,90,,,,,RB
233,ARI D/ST,DST,DST28,DST30,,DST-T2,ARI,14,,,,,,1,71,,,,87.8,44.7,82.8,137.7,,,304,212,361,,,5,,,,,DST
234,CAR D/ST,DST,DST29,DST28,,DST-T2,CAR,5,,,,,,1,60,,,,87.8,44.8,84.6,131.8,,,294.18,185,365,,,3,,,,,DST
235,MIA D/ST,DST,DST30,DST32,,DST-T2,MIA,6,,,,,,1,95,,,,87.8,47.2,86.6,123.9,,,329.71,206,390,,,6,,,,,DST
236,NYJ D/ST,DST,DST31,DST31,,DST-T2,NYJ,13,,,,,,1,83,,,,87.8,46,87,119.1,,,319.2,191,428,,,4,,,,,DST
237,TB D/ST,DST,DST32,DST29,,DST-T2,TB,10,,,,,,1,66,,,,87.8,47.8,90,119.5,,,303.05,188,383,,,14,,,,,DST
238,Ted Hurst III,WR,WR67,WR90,WR100,WR-T11,TB,10,22.2,R,6'3",195,4.42,1,4,,,,86.8,7.4,76,169.3,,,242.11,150,344,405,170.2,4,,,,,WR
239,Aaron Jones Sr.,RB,RB46,RB40,RB40,RB-T7,MIN,6,31.7,10,5'9",208,4.56,1,-121,101.5,-137,-168,85.9,4.4,76.8,169.4,104.7,12,117.76,86,152,149,117.8,76,,,,,RB
240,Chig Okonkwo,TE,TE22,TE19,TE24,TE-T7,WAS,7,27,5,6'3",238,,1,-77,,,-190,85.4,15.1,79.7,156.2,96,17,163.01,112,226,310,170.1,29,,,,,TE
241,Shedeur Sanders,QB,QB41,QB35,QB33,QB-T8,CLE,11,24.6,2,6'2",212,,1,60,,,,85,0.5,32.3,279.6,84.9,8,301.37,214,359,428,169.9,5,,,,,QB
242,Jason Sanders,K,K34,K34,K30,K-T2,FA,,30.8,9,5'11",195,,1,120,,,,84.7,19.9,97.5,151.7,,,362.25,333,403,1743,169.9,1,,,,,K
243,Germie Bernard,WR,WR68,WR88,WR75,WR-T11,PIT,9,22.7,R,6'1",206,4.48,1,-6,,,,84.6,10.2,75.7,163.1,,,236.65,168,329,287,171.2,7,,,,,WR
244,Mac Jones,QB,QB42,QB41,QB40,QB-T8,SF,8,28,6,6'3",220,4.72,1,96,,,,84.5,0.5,32.1,278,130,11,339.65,293,440,454,170,2,,,,,QB
245,Kaleb Johnson,RB,RB47,RB72,RB82,RB-T7,GB,11,23,2,6'0",225,4.57,1,4,,,108,84.5,3.1,81.4,175.2,8.3,10,248.63,145,381,375,170.1,15,,,,,RB
246,Chris Bell,WR,WR69,WR86,WR87,WR-T11,MIA,6,22.2,R,6'2",220,4.5,1,-18,160.2,-86,35,84.5,10.7,76.5,174.4,,,227.67,150,305,330,170.6,6,ADD,,,,WR
